,event_trading,event_trading,overnight_trading,overnight_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading
,super_bowl,super_bowl,short_term_reversal,short_term_reversal,buy_when_yields_are_low,buy_when_yields_are_low,pay_day_strategy,pay_day_strategy,santa_claus_strategy,santa_claus_strategy,september_bear,september_bear,tax_day_strategy,tax_day_strategy,turn_around_tuesday_strategy,turn_around_tuesday_strategy
,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US
Date,,,,,,,,,,,,,,,,
2010-01-04,,,,,,,0.002646650368993031,0.0,0.002646650368993031,0.0,,,,,,
2010-01-05,,,,,,,0.0007039867398659361,-0.006031144595712634,0.0007039867398659361,-0.006031144595712634,,,,,,
2010-01-06,,,,,,,,,0.004222092835711289,0.0006501150014037727,,,,,,
2010-01-07,,,,,,,,,0.0033272506498447374,0.008229439935424576,,,,,,
2010-01-08,,,,,0.001396526141223875,-0.004081632653061162,,,,,,,,,,
2010-01-11,,,,,-0.009326244225573155,-0.012510785159620341,,,,,,,,,,-0.012511702915067535
2010-01-12,,,,,0.00844624318141829,0.01245085190039319,,,,,,,,,,0.01245181962359121
2010-01-13,,,,,0.002704589076949926,0.0008629989212514122,,,,,,,,,,0.0008628931434315756
2010-01-14,,,,,-0.011224223440355008,-0.011640439749946108,,,,,,,,,,-0.011641463498268445
2010-01-15,,,,,0.012495600140795426,0.01613958560523443,,,,,,,,,,0.016140103933050653
2010-01-19,,,,,-0.010168607682948028,-0.014380768405237165,,,,,,,,,,
2010-01-20,,,,,-0.01922908069189566,-0.009364111498257888,,,,,,,,,,
2010-01-21,,,,,-0.02229185317815585,-0.029237194987909554,,,,,,,,,,
2010-01-22,,,0.005127735555352064,0.0033967391304348116,0.005127735555352064,0.0033967391304348116,,,,,,,,,,
2010-01-25,,,,,-0.004190580304272551,0.0009027307605506962,-0.004189970613328264,0.0009026196483887805,,,,,,,,
2010-01-26,,,,,0.004757112798463137,0.007891770011273946,0.004757349021399682,0.007890799532700665,,,,,,,,
2010-01-27,,,,,-0.01147227533460804,-0.02572706935123059,-0.011472295714498815,-0.025726472262892597,,,,,,,,
2010-01-28,,,,,-0.01086856406005332,-0.017451205510906953,-0.010868640641192306,-0.017451674593711775,,,,,,,,
2010-01-29,,,,,0.015550796163516178,0.010983874737088062,0.01555068112201341,0.010982533098954361,,,,,,,,
2010-02-01,,,,,0.01210342930496977,0.009015256588072118,0.012103112603791377,0.00901679387708998,,,,,,,,
2010-02-02,,,,,-0.004982786736727696,0.005498281786941561,-0.004982265115895501,0.005497609112703472,,,,,,,,
2010-02-03,,,,,-0.03086588363835019,-0.02893597630439748,-0.030866361433569023,-0.02893504435912897,,,,,,,,
2010-02-04,,,,,0.0020668921458097955,0.008446738620365934,,,,,,,,,,
2010-02-05,,,,,-0.0072192012000750205,-0.007212657049790461,,,,,,,,,,
2010-02-08,0.012560020931321025,0.010310431323260705,,,0.012560203985267693,0.010311694398875026,,,,,,,,,0.012560020931321025,0.010310431323260705
2010-02-09,-0.001959200112578219,-0.002087429562430465,,,-0.001958589815332923,-0.0020876826722336927,,,,,,,,,-0.001959200112578219,-0.002087429562430465
2010-02-10,0.010466743081630092,0.015110056996159749,,,0.010466311559667263,0.015109251510925015,,,,,,,,,0.010466743081630092,0.015110056996159749
2010-02-11,-0.0008324191158074479,0.00206065935895805,,,-0.0008323314528806414,0.0020609113808105484,,,,,,,,,-0.0008324191158074479,0.00206065935895805
2010-02-12,0.015735233921648994,0.012798109753722642,,,0.015734912995186923,0.012797074954296273,,,,,,,,,0.015735233921648994,0.012798109753722642
2010-02-16,0.0047375220756438186,0.005640100086139688,,,,,,,,,,,,,,
2010-02-17,0.005896044176683324,0.00628148389859895,,,,,,,,,,,,,,
2010-02-18,0.002073450336290694,-0.000445876654303734,,,,,,,,,,,,,,
2010-02-19,0.00018023226555463623,-0.0020073399703968153,,,,,,,,,,,,,,
2010-02-22,-0.01214476361649286,-0.01296475010158471,,,,,-0.01214476361649286,-0.01296475010158471,,,,,,,,-0.01296475010158471
2010-02-23,,,,0.010190217391304435,,,0.009197752265975634,0.010191558065636652,,,,,,,,0.010191558065636652
2010-02-24,,,,,,,-0.0013532975036179007,-0.0002241375797217282,,,,,,,,-0.0002241375797217282
2010-02-25,,,,,,,0.000632316299186586,0.003587005258223641,,,,,,,,0.003587005258223641
2010-02-26,,,,,0.010384684847390302,0.014521894548704228,0.010384341620290893,0.014522663579870754,,,,,,,,0.014522663579870754
2010-03-01,,,,,0.0027705782464921835,0.0030830213609336354,0.002770224791593723,0.0030826433666870656,,,,,,,,
2010-03-02,,,,,0.0008912655971478056,0.001097694840834329,0.0008914887746609423,0.0010975606714076491,,,,,,,,
2010-03-03,,,,,0.003036509349955585,0.0032894736842103978,0.0030369331376660647,0.003289072058086928,,,,,,,,
2010-03-04,,,,,0.01428431920881379,0.015081967213114611,,,,,,,,,,
2010-03-05,,,,,0.0001750547045951123,0.0019379844961240345,,,,,,,,,,
2010-03-08,,,,,0.0016627286251860163,0.005587792821835302,,,,,,,,,,
2010-03-09,,,,,0.004455705049799086,0.00812139346014118,,,,,,,,,,
2010-03-10,,,,,,,,,,,,,,,,
2010-03-11,,,,,,,,,,,,,,,,
2010-03-12,,,,,,,,,,,,,,,,
