,event_trading,event_trading,event_trading,event_trading,event_trading,event_trading,event_trading,event_trading,event_trading,event_trading,event_trading,event_trading,event_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,overnight_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading
2000-01-12,,,,,,,,,,,,,,,,,,,,,,,,0.005197505197505281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017455283212278072,0.03030254046483538,,,0.0052179649346630885,,,0.0051978427203500654,
2000-01-13,,,,,,,,,,,,,,,,,,,,,,,0.008177570093457875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0060877606640236115,0.023396066163706042,,,0.0032447013008087833,,,-0.0025848967969683834,
2000-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012249970784123931,-0.03331164283889598,,,-0.016817362273986225,,,-0.005703154789994058,
2000-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,,,,,,,,,,,,,,,,,,,-0.00649350649350644,,,,,-0.013584117032392928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,,,,,,,,,,,,,,,,,,-0.012430883468082077,-0.012527233115468439,,,,,-0.020656779661016977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,,,,,,,,,,,,,,,,,,-0.018181864036175388,-0.02868174296745729,,,,,-0.037317468902109296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,,,,,,,,,,,,,,0.011356045424181671,,,,0.010683730496126032,-0.005678591709256109,,-0.012413793103448256,,,0.006179775280898969,0.007060010085728763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011356785248424206,0.015006930896195758,,-0.002226906017258945,0.010683654446983937,-0.0056780040547369515,0.021385807579169525,-0.012413760115416284,,-0.023295767776617238,0.006180102520545239,0.007059913497007297
2000-01-25,,,,,,,,,,,,,,,,,,,0.007995431182181711,,0.009078212290502874,,,,,,,,,,,,,,,,,-0.007926113757793618,-0.04032247295745561,,-0.01562521245375026,0.03735017170064503,0.007995336592801383,-0.03273406968680126,0.009077746337524673,,-0.004654215551537444,0.007258133000876299,-0.004507014519227304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00792619636752434,-0.040323141550855035,,-0.015624398212095825,0.03735010200314215,0.007995224452768568,-0.032733688166390995,0.009078196219539203,,-0.004653555287947864,0.007257771634550325,-0.004506580457618092
2000-01-26,,,,,,,,,,,,,,,,,-0.020408163265306145,,,,,,-0.006428988895382792,,,,,,,,,,,,,,,-0.003995223090054401,0.01470525081991969,,-0.02040854611843923,0.010869057842868735,0.005666099061901075,-0.009755480900578428,0.01868552945650115,,-0.006428732903809187,-0.002771618774429996,-0.0060365595538585115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003995223090054401,0.014705960374550076,,-0.020408346824968504,0.010869889398441579,0.005665454792856517,-0.009756561739640679,0.01868462393966186,,-0.006429063215492414,-0.002771619768782929,-0.006036384724086963
2000-01-27,,,,,,,,,,,,,,,,,-0.01157407407407407,,,,,,-0.0052941176470587825,,,,,,,,,,,,,,,-0.03119409889065572,-0.05037922979682141,,-0.01157367631692785,-0.03494584878851914,-0.026478613333594248,-0.035714844070132146,-0.008152178088176254,,-0.0052943769621157655,-0.039466875998726114,-0.02024254070367082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031193593260420927,-0.05037922482678858,,-0.01157452284106153,-0.034946246006239634,-0.02647957630975961,-0.03571397275028099,-0.008152253638220475,,-0.005293875062005626,-0.03946581091843482,-0.020242979978079334
2000-01-28,,,,,,,,,,,,,,0.027138914443422202,,,0.023419203747072626,,,0.033205619412515874,,,0.04612655233589602,,-0.004648760330578483,,,,,,,,,,,,,0.02713901215164838,0.042878169410022426,,0.023418787607668357,0.027855295450734507,0.006943656070003579,0.03320610080030306,0.018493178675432764,,0.0461265811799203,0.007523882871515841,-0.004648753633794245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027138824017346908,0.04287743775273545,,0.02341912713885952,0.027855043745970365,0.006944975592444225,0.033205680871875476,0.018493185496235576,,0.046125969239318554,0.007522472706012362,-0.004648665273411567
2000-01-31,,0.009852380699127083,0.02682957685587528,,-0.002287926272874108,0.005419470528868819,-0.0068967477924504195,0.02101351586365885,-0.010087667583389415,,-0.0073488420175817915,0.03618580052912268,0.012973334304217543,,,,,,,,,,,,0.012973533990659147,,,,,,,,,,,,,0.00985229434358148,0.026828564671839805,,-0.0022885102238017208,0.005419800993278656,-0.006895774185721626,0.02101300771923542,-0.01008744738237266,,-0.007348842608335127,0.03618589010228357,0.012973334304217543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012973880555162687
2000-02-01,,0.0008871612859888689,0.008483125667625213,,0.006307281397376574,-0.010107389683723045,0.0005789934321012158,0.0072644420787293384,0.002037844364090491,,-0.005125050968286082,-0.006651635118143595,0.024589865303262792,,,,,,,,,,,,,,,,,,,,,,,,,0.0008871612115910477,0.008483808044420726,,0.006307546246566487,-0.010108043616700702,0.0005779004697832324,0.007264149114853735,0.002038209141563385,,-0.005125132365712548,-0.0066520823779416816,0.02459040108270316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02459003730899134
2000-02-02,,0.015064184470550357,0.039030778600264604,,-0.011966266090645883,-0.00612686854009592,-0.0005786583926925548,0.028846161321973707,-0.013558462431384588,,-0.0017179376705677152,0.003906358278894517,0.008999817064843318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008999987449904268
2000-02-03,,-0.004146621484923951,0.006800924232438055,,-0.0288348545496232,-0.010273786613499536,0.004050877996173652,0.011681875961788268,-0.0006877110745983073,,-0.005159828290568824,-0.0016677547890501243,0.00346903740301574,,,,,,,,,,-0.0051605504587155515,,,-0.0041466608467918276,0.00680051813471505,,-0.028835063437139596,-0.010273943699517174,0.004050925925925819,0.011682242990654235,-0.0006872852233676952,,-0.0051605504587155515,-0.0016675931072818173,0.003468780971258578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003468862553404062
